position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
Midfield,52,500.0,23,185,83,FC Dinamo 1948 Bucureşti,Germany
Midfield,55,500.0,16,181,69,Tranmere Rovers,Morocco
Defense,64,2322.0,26,192,85,Fiorentina,Austria
Defense,63,500.0,26,197,93,Heracles Almelo,Korea Republic
Defense,67,500.0,27,170,72,Club Sporting Cristal,China PR
Defense,67,23993.0,28,163,59,RC Celta de Vigo,England
Offense,56,500.0,20,183,67,FC Würzburger Kickers,India
Defense,61,500.0,28,169,69,ESTAC Troyes,Romania
Defense,66,500.0,21,175,72,Hammarby IF,Poland
Defense,62,500.0,29,178,68,Lecce,Austria
Defense,65,16119.0,27,186,78,Viking FK,Italy
Midfield,62,500.0,23,186,76,San Jose Earthquakes,Brazil
Midfield,66,6087.0,22,190,83,Spartak Moskva,Austria
Defense,51,19986.0,16,186,77,Warta Poznań,Turkey
Midfield,60,20431.0,31,188,83,Ross County FC,Japan
Offense,70,21545.0,28,181,75,Club Social y Deportivo Macará,Argentina
GoalKeeper,62,500.0,30,174,67,Bohemian FC,Côte d'Ivoire
Defense,60,6431.0,31,182,75,RB Leipzig,Saudi Arabia
Defense,68,21572.0,31,181,73,Real Salt Lake,France
GoalKeeper,67,500.0,26,175,69,Crystal Palace,England
Defense,61,2596.0,27,173,67,LOSC Lille,Japan
Midfield,56,500.0,23,188,87,DSC Arminia Bielefeld,England
Defense,54,500.0,16,187,72,Oud-Heverlee Leuven,Brazil
Midfield,61,500.0,22,173,74,SL Benfica,United States
Midfield,71,34302.0,25,173,72,CD Mirandés,India
GoalKeeper,82,60734.0,28,185,75,Club Atlético Peñarol,Brazil
Defense,62,13348.0,25,175,71,Stevenage,Bolivia
Defense,65,500.0,28,182,74,Henan Songshan Longmen FC,England
GoalKeeper,64,11481.0,22,173,67,Warta Poznań,Morocco
Defense,68,6007.0,28,180,74,Levante Unión Deportiva,France
Midfield,54,6782.0,26,182,81,Pogoń Szczecin,Guam
GoalKeeper,53,3251.0,31,188,80,Vålerenga Fotball,Italy
Midfield,63,500.0,24,182,77,Malmö FF,Turkey
GoalKeeper,70,26858.0,29,176,75,Cádiz CF,Portugal
Midfield,71,5711.0,28,174,75,Sint-Truidense VV,France
Defense,47,500.0,24,180,72,Yokohama FC,Algeria
Defense,59,500.0,28,188,81,Montevideo City Torque,Portugal
Midfield,51,500.0,20,181,77,New York City FC,Northern Ireland
Offense,66,8180.0,22,179,80,Atlético Clube Goianiense,Netherlands
Defense,74,8312.0,28,177,74,Beşiktaş JK,Germany
Midfield,73,19308.0,28,181,81,Club Sporting Cristal,Scotland
Defense,62,500.0,30,173,66,Kaizer Chiefs,France
Defense,62,500.0,21,195,79,Montpellier Hérault SC,Romania
Midfield,64,4855.0,29,182,80,Vitesse,Switzerland
Defense,63,500.0,28,174,70,SD Ponferradina,Venezuela
Defense,68,34571.0,24,170,66,Montpellier Hérault SC,England
Defense,59,500.0,25,185,80,Al Shabab,Germany
Defense,80,34915.0,29,177,67,SV Sandhausen,United States
Defense,68,39800.0,32,183,76,Bolton Wanderers,England
Midfield,65,1566.0,25,182,74,RKC Waalwijk,Mexico
Midfield,54,8023.0,19,168,55,Bohemian FC,Germany
GoalKeeper,62,500.0,23,185,75,Unión Deportiva Almería,Norway
Offense,59,500.0,21,185,67,SSV Jahn Regensburg,Germany
Defense,68,1024.0,27,185,75,Northampton Town,Chile
Midfield,75,33078.0,29,181,86,Club Sporting Cristal,Portugal
GoalKeeper,62,7384.0,25,191,82,Beşiktaş JK,England
Midfield,64,500.0,28,172,65,Hallescher FC,Germany
Midfield,61,8642.0,16,183,72,Nottingham Forest,England
Midfield,63,500.0,26,185,83,Kashima Antlers,Turkey
GoalKeeper,70,7414.0,23,178,69,Hallescher FC,Italy
Midfield,53,500.0,17,185,79,Vålerenga Fotball,Paraguay
Defense,58,500.0,16,180,74,Norwich City,Spain
Defense,69,14250.0,25,174,65,Rotherham United,China PR
Offense,69,32449.0,20,186,79,Lecce,Scotland
Midfield,55,4577.0,21,183,80,Go Ahead Eagles,Chile
Defense,68,11370.0,26,184,84,Club Atlas,Mexico
Midfield,70,4831.0,21,185,71,Eintracht Frankfurt,Turkey
Defense,66,500.0,28,174,65,Atakaş Hatayspor,England
Defense,58,22769.0,18,184,62,Club Sporting Cristal,Germany
Midfield,62,38063.0,24,173,68,Lecce,Australia
GoalKeeper,71,25448.0,30,185,79,Dundee FC,Ecuador
Midfield,68,18250.0,32,191,83,Oldham Athletic,England
Midfield,65,579.0,32,194,77,Club Brugge KV,England
Defense,65,22710.0,29,173,74,Venezia FC,Ecuador
Offense,61,7829.0,28,191,86,Lecce,England
Defense,61,9872.0,20,185,79,Oldham Athletic,Switzerland
Defense,74,18758.0,23,181,75,FC Academica Clinceni,Congo DR
Midfield,60,500.0,26,182,73,Clube Sport Marítimo,Nigeria
GoalKeeper,71,998.0,35,190,90,Cracovia,United States
Defense,76,29603.0,30,179,75,Bohemian FC,Brazil
Defense,66,18363.0,28,181,73,VfL Wolfsburg,Brazil
Midfield,71,15437.0,30,171,61,FC Lokomotiv Moscow,Argentina
Midfield,59,500.0,17,173,61,Lecce,Guam
Defense,59,6028.0,26,190,76,Clube Sport Marítimo,Iran
Defense,59,20197.0,23,185,76,Tranmere Rovers,Morocco
GoalKeeper,71,22272.0,28,195,89,Boca Juniors,England
Midfield,71,500.0,24,174,72,Belenenses SAD,Brazil
Offense,72,28148.0,22,179,72,Vélez Sarsfield,Japan
Defense,69,26612.0,25,175,71,Argentinos Juniors,Poland
Midfield,58,28154.0,19,177,74,Hajduk Split,Saudi Arabia
Defense,62,500.0,22,180,69,Coventry City,Germany
GoalKeeper,59,500.0,16,177,67,CFR Cluj,Belgium
Midfield,65,29627.0,26,188,82,KAS Eupen,Germany
Midfield,58,500.0,16,184,78,Bohemian FC,Norway
Midfield,61,9292.0,18,191,81,Halmstads BK,England
Offense,69,37009.0,34,182,75,Real Madrid CF,Kenya
Defense,69,30235.0,23,179,74,FC Zürich,Japan
Midfield,62,19069.0,16,180,75,SD Amorebieta,Austria
Midfield,56,500.0,22,189,80,1. FC Kaiserslautern,Colombia
GoalKeeper,59,2328.0,27,180,78,Wigan Athletic,Venezuela
Offense,65,500.0,32,186,82,FC Seoul,Romania
Midfield,65,500.0,22,195,83,CF Monterrey,Spain
Midfield,72,6843.0,28,180,76,Club Atlético Colón,Argentina
Defense,71,31560.0,28,179,74,Swansea City,China PR
Defense,67,2742.0,25,185,84,Yukatel Kayserispor,Saudi Arabia
Midfield,63,1609.0,21,169,66,Sunderland,New Zealand
Midfield,69,25271.0,23,173,64,Cardiff City,India
Defense,60,21378.0,18,182,72,Trabzonspor,Italy
GoalKeeper,51,500.0,23,188,80,Leicester City,Denmark
Offense,56,500.0,27,194,84,AZ Alkmaar,Chile
Defense,76,40022.0,27,181,74,1. FC Kaiserslautern,France
Midfield,53,500.0,28,180,71,PSV,Argentina
Defense,70,17973.0,26,182,69,Vissel Kobe,Spain
Midfield,70,500.0,32,179,84,N.E.C. Nijmegen,Spain
Offense,67,1320.0,30,175,74,1. FSV Mainz 05,Germany
Midfield,71,27766.0,24,181,79,DSC Arminia Bielefeld,Brazil
Defense,65,21236.0,19,184,69,CS Emelec,Italy
Midfield,69,27852.0,27,183,74,Yokohama F. Marinos,Saudi Arabia
Offense,57,500.0,23,192,81,Al Batin,England
Defense,65,500.0,29,174,75,Unión Deportiva Almería,Uruguay
Midfield,67,500.0,29,182,74,Rochdale,France
Midfield,69,23740.0,25,183,73,Mjällby AIF,Korea Republic
Defense,61,30577.0,24,181,71,Borussia Dortmund II,Chile
Midfield,76,35529.0,31,177,75,SL Benfica,Bolivia
Midfield,64,2165.0,27,176,69,RB Bragantino,Côte d'Ivoire
Defense,68,28106.0,22,182,78,Nottingham Forest,Russia
Offense,71,16988.0,26,185,77,Lecce,Germany
Midfield,76,31382.0,29,183,79,FC Twente,Japan
GoalKeeper,64,4898.0,28,196,90,Oud-Heverlee Leuven,Republic of Ireland
GoalKeeper,71,29732.0,28,186,78,Fiorentina,Spain
Defense,69,37259.0,35,171,69,Club Universidad Nacional,Morocco
Defense,63,500.0,22,177,66,Clermont Foot 63,Chile
Midfield,73,24310.0,24,170,59,Pachuca,Germany
Midfield,55,500.0,17,172,74,Dijon FCO,France
Midfield,63,500.0,28,187,80,Portsmouth,Netherlands
Defense,72,15067.0,21,180,78,Deportivo Cali,Italy
Offense,68,15136.0,22,170,57,TSG Hoffenheim,Republic of Ireland
Midfield,54,500.0,20,182,72,Santos Laguna,France
Defense,64,500.0,25,186,77,Adelaide United,Uruguay
Offense,69,35199.0,20,182,75,CD Leganés,Australia
Defense,65,13918.0,29,184,73,Parma,France
Midfield,62,11957.0,22,183,76,Santa Clara,Poland
Offense,64,500.0,21,185,79,Watford,Germany
Defense,66,10557.0,23,184,81,SK Sturm Graz,Romania
Defense,61,8315.0,20,179,72,Changchun Yatai FC,France
Defense,72,40757.0,22,183,76,SV Ried,Germany
Defense,75,44962.0,29,177,70,Chongqing Liangjiang Athletic,Scotland
Defense,67,36610.0,27,190,84,Club Sporting Cristal,France
Defense,53,500.0,25,176,71,Santos,France
Defense,69,36049.0,26,193,79,Racing Club,Germany
Midfield,60,500.0,26,171,69,Lecce,Colombia
GoalKeeper,62,10389.0,18,182,75,St. Johnstone FC,Japan
Defense,68,11057.0,23,185,76,PEC Zwolle,Scotland
Defense,73,34807.0,22,180,75,Elche CF,France
Defense,56,4170.0,25,185,67,Molde FK,Japan
Midfield,65,20577.0,28,171,69,Daegu FC,Germany
Midfield,62,27892.0,21,178,78,RSC Anderlecht,Netherlands
Defense,69,41828.0,37,178,69,CFR Cluj,Norway
Defense,71,2395.0,36,184,73,Al Faisaly,Croatia
Offense,56,500.0,17,179,77,Sutton United,England
GoalKeeper,69,8485.0,23,175,68,Shanghai Port FC,Norway
Midfield,68,500.0,27,176,80,Orlando Pirates,Romania
Midfield,66,500.0,22,177,77,Universidad Católica,Denmark
Midfield,67,500.0,24,192,80,Pau FC,France
Defense,64,35768.0,21,171,60,1. FC Köln,Serbia
GoalKeeper,79,13486.0,30,184,81,Club América,France
Defense,57,500.0,20,183,71,RC Strasbourg Alsace,Scotland
GoalKeeper,56,500.0,24,187,76,Crawley Town,South Africa
Midfield,65,39724.0,22,181,77,Sunderland,Slovakia
Defense,56,500.0,25,180,68,Wigan Athletic,Guam
Midfield,71,19963.0,24,183,82,SD Amorebieta,Netherlands
Defense,66,18550.0,22,176,66,Bohemian FC,Spain
Defense,68,16488.0,17,192,78,Lecce,Italy
Defense,64,500.0,36,190,83,SV Wehen Wiesbaden,Germany
Midfield,68,3184.0,30,176,70,Palmeiras,Norway
Defense,67,8112.0,29,187,83,Borussia Dortmund II,Korea Republic
Defense,69,18362.0,20,175,66,SC East Bengal FC,Turkey
Midfield,63,500.0,21,186,79,Argentinos Juniors,Italy
Defense,73,53059.0,25,182,71,Adana Demirspor,Argentina
Defense,72,1264.0,26,181,88,Burton Albion,Germany
Defense,62,500.0,21,191,82,Borussia Dortmund,Republic of Ireland
Defense,75,12617.0,30,179,69,Club Tijuana,Guam
Midfield,68,500.0,24,184,75,Lecce,Brazil
Defense,65,500.0,32,182,74,Lecce,Brazil
Defense,56,21362.0,23,176,71,Kalmar FF,France
Midfield,59,500.0,16,190,79,Preston North End,Guam
Defense,61,500.0,26,187,78,Manchester United,Romania
Midfield,72,500.0,27,188,81,Everton,Poland
Defense,74,3688.0,26,174,68,Northampton Town,Argentina
Defense,73,24810.0,22,171,67,Fiorentina,Italy
Midfield,60,4234.0,17,177,66,CD Tondela,Japan
Midfield,78,14671.0,39,187,84,Everton,England
Defense,77,34628.0,32,172,69,SV Zulte Waregem,China PR
Defense,66,2322.0,24,159,60,Hammarby IF,Japan
Midfield,66,500.0,21,190,80,Cerezo Osaka,Republic of Ireland
Midfield,69,500.0,30,182,79,Oita Trinita,Sweden
Midfield,59,500.0,33,179,74,Club Sporting Cristal,Denmark
Offense,64,500.0,22,186,81,Blackpool,Germany
Defense,58,500.0,21,174,69,CS Mioveni,France
Midfield,62,14962.0,28,184,81,Club León,France
Defense,82,56969.0,26,178,75,FC Goa,England
Offense,72,47190.0,25,181,82,Eintracht Braunschweig,Nigeria
Defense,60,500.0,28,178,80,FC St. Pauli,Slovenia
Offense,60,500.0,18,173,75,VfL Wolfsburg,Argentina
Midfield,62,500.0,23,182,72,Barnsley,Germany
Defense,52,500.0,27,190,80,Wolverhampton Wanderers,Spain
Midfield,74,23272.0,27,184,77,AZ Alkmaar,Germany
Midfield,69,36269.0,24,175,68,Pogoń Szczecin,Spain
Midfield,62,500.0,27,171,60,Club Sporting Cristal,Argentina
Defense,64,500.0,28,184,83,VfB Stuttgart,England
Midfield,63,500.0,25,179,74,SD Amorebieta,Czech Republic
Defense,65,500.0,19,196,80,SC Heerenveen,Italy
Midfield,68,13788.0,23,174,66,Club Sporting Cristal,Portugal
Midfield,71,19606.0,24,184,73,FC Lokomotiv Moscow,England
Defense,70,29732.0,27,181,77,Shamrock Rovers,Norway
Midfield,66,3659.0,32,183,75,Wolverhampton Wanderers,England
Midfield,76,30448.0,25,193,86,AFC Chindia Târgoviște,Romania
Midfield,66,500.0,29,185,84,Club Sporting Cristal,Poland
Defense,63,500.0,26,181,69,Servette FC,Italy
Midfield,55,9925.0,16,175,71,Raków Częstochowa,France
GoalKeeper,61,500.0,19,189,84,GZT Giresunspor,Peru
Offense,74,29578.0,27,184,78,Spezia,France
GoalKeeper,51,500.0,23,195,83,Panathinaikos FC,Italy
Midfield,72,13262.0,27,178,73,Molde FK,Guam
Defense,54,500.0,26,173,68,Shanghai Shenhua FC,Guam
Midfield,70,26733.0,29,187,85,Central Coast Mariners,Czech Republic
Defense,64,500.0,26,187,83,Shijiazhuang Ever Bright F.C.,France
Offense,61,500.0,24,185,75,Deportivo La Guaira FC,France
GoalKeeper,70,23639.0,31,186,81,FC Utrecht,Portugal
Defense,66,33592.0,23,183,79,Club River Plate Asunción,Italy
Midfield,76,18399.0,32,178,78,1. FC Kaiserslautern,China PR
GoalKeeper,77,30250.0,24,191,89,West Bromwich Albion,Republic of Ireland
GoalKeeper,66,6257.0,30,183,74,Al Hilal,Australia
Defense,60,500.0,23,184,71,Real Oviedo,United States
Midfield,68,25076.0,26,197,89,Al Taawoun,England
Midfield,65,500.0,22,189,79,Málaga CF,Poland
Midfield,71,24657.0,23,197,86,Hammarby IF,France
GoalKeeper,56,500.0,19,184,72,Club Sporting Cristal,Australia
Defense,60,27031.0,26,182,81,Elche CF,Argentina
Defense,61,4317.0,20,183,67,Club Tijuana,Germany
Midfield,72,10231.0,29,177,83,SC Cambuur,Saudi Arabia
Defense,66,20771.0,25,189,83,Club Sporting Cristal,Sweden
Midfield,57,500.0,24,173,70,Club Brugge KV,England
Midfield,64,19746.0,23,169,70,Oldham Athletic,Netherlands
Defense,63,27708.0,30,185,79,St. Johnstone FC,Argentina
Midfield,51,500.0,22,184,76,Crawley Town,Australia
Offense,68,2080.0,21,189,77,Salford City,Italy
Offense,71,876.0,21,181,72,Lechia Gdańsk,Spain
GoalKeeper,66,1468.0,32,194,83,Everton,England
Defense,61,500.0,27,186,81,Celtic,Peru
Defense,71,37918.0,22,180,73,Southampton,England
Defense,67,20228.0,25,175,62,1. FC Saarbrücken,Korea Republic
Offense,64,21718.0,20,178,80,SC Heerenveen,Germany
Defense,59,500.0,17,185,77,Śląsk Wrocław,Netherlands
Offense,67,11171.0,27,184,74,Brighton & Hove Albion,Colombia
Defense,67,35453.0,22,180,71,Abha Club,France
Defense,74,6341.0,31,192,80,Sport Club Corinthians Paulista,England
Defense,67,9009.0,24,175,73,IF Elfsborg,Brazil
Defense,70,7687.0,26,185,80,Al Batin,Croatia
