position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
Midfield,74,1471.0,30,170,76,Wuhan FC,New Zealand
Midfield,76,17587.0,28,190,83,Gazişehir Gaziantep F.K.,Montserrat
Midfield,56,12506.0,25,176,66,Sligo Rovers,France
Offense,58,1423.0,20,187,73,Tokushima Vortis,United States
Midfield,61,598.0,21,179,66,FC Red Bull Salzburg,Argentina
Defense,71,9917.0,34,193,75,Bradford City,Indonesia
Defense,75,58542.0,30,178,74,RSC Anderlecht,Germany
Defense,73,14612.0,32,179,73,Toronto FC,Senegal
Defense,59,31418.0,19,189,82,PEC Zwolle,New Zealand
Defense,66,42030.0,25,185,81,Kawasaki Frontale,Denmark
Defense,58,7175.0,27,187,75,FC Academica Clinceni,Uzbekistan
Defense,58,6668.0,22,183,82,FC Nordsjælland,Colombia
Defense,75,9975.0,22,180,69,Nottingham Forest,Brazil
GoalKeeper,63,882.0,19,183,73,Lillestrøm SK,Northern Ireland
Defense,74,554.0,18,173,86,Oud-Heverlee Leuven,Ghana
Midfield,57,1776.0,20,176,67,Hyderabad FC,Norway
Midfield,70,1635.0,24,183,73,Atlético de Madrid,Argentina
Defense,63,16479.0,20,185,77,Houston Dynamo,Argentina
Defense,62,804.0,30,183,76,Sporting Kansas City,Saudi Arabia
Defense,76,9000.0,31,188,74,Sporting Kansas City,Italy
GoalKeeper,54,905.0,36,194,83,Wisła Kraków,Norway
Offense,53,1213.0,24,186,83,Everton,England
Defense,64,500.0,22,181,76,Manchester United,Algeria
Defense,62,694.0,20,181,67,VfB Stuttgart,Guinea
Midfield,57,669.0,18,183,65,Górnik Łęczna,Republic of Ireland
Defense,67,37378.0,34,193,85,Jagiellonia Białystok,Tunisia
GoalKeeper,82,1255.0,31,180,80,Bristol Rovers,Guinea
Defense,77,9572.0,29,188,79,Atlético Nacional,Brazil
Midfield,57,1495.0,39,183,69,FC St. Pauli,Argentina
Defense,73,21642.0,32,181,77,Mjällby AIF,Germany
Defense,60,612.0,31,189,87,1. FSV Mainz 05,Croatia
GoalKeeper,63,5952.0,29,185,73,Atlético Nacional,Argentina
GoalKeeper,87,4055.0,37,192,83,GwangJu FC,Germany
GoalKeeper,71,2806.0,31,188,76,Atlético de Madrid,Ghana
Midfield,58,971.0,20,185,64,Universidad Técnica de Cajamarca,India
GoalKeeper,73,1123.0,34,199,83,Cruz Azul,England
Defense,81,13221.0,32,184,73,Lillestrøm SK,Austria
Defense,78,10387.0,31,173,81,Hibernian,Honduras
Defense,62,897.0,35,181,82,Jeonbuk Hyundai Motors,Netherlands
Midfield,54,500.0,19,174,72,Atlético Nacional,Saudi Arabia
Defense,79,8922.0,31,185,75,Philadelphia Union,Cyprus
Midfield,62,1322.0,20,176,65,Deportivo Alavés,Albania
Defense,74,24638.0,34,169,75,Sport-Club Freiburg,Israel
Offense,74,11162.0,23,179,78,FC Cincinnati,France
Midfield,62,7092.0,26,181,75,PAOK,Honduras
Defense,55,1248.0,24,189,76,Unión Deportiva Las Palmas,Croatia
Defense,79,24424.0,26,186,70,Perth Glory,Liberia
Midfield,55,732.0,21,168,77,PGE FKS Stal Mielec,Argentina
Defense,67,578.0,32,192,74,Udinese Calcio,North Macedonia
GoalKeeper,71,6295.0,27,187,75,Sporting Kansas City,Belgium
Offense,69,111769.0,26,184,81,Futebol Clube de Famalicão,Argentina
Midfield,69,675.0,24,176,67,Viktoria Köln,Poland
Midfield,71,1123.0,18,177,64,Lillestrøm SK,Algeria
Offense,77,39399.0,33,185,82,Racing Club de Lens,Germany
Midfield,67,1007.0,30,183,75,FC Paços de Ferreira,Liberia
Defense,75,10581.0,23,183,63,Cracovia,Grenada
Defense,72,1404.0,32,185,85,Sportclub Verl,Cyprus
Defense,79,41469.0,26,185,75,FC Viktoria 1889 Berlin,Honduras
Defense,64,9576.0,24,180,73,Atlético de Madrid,Spain
Offense,65,1042.0,22,179,74,Degerfors IF,Sweden
Defense,66,10012.0,33,169,79,Sporting Kansas City,Côte d'Ivoire
Defense,68,9316.0,32,190,73,Mazatlán Futbol Club,Israel
Midfield,55,620.0,23,173,74,FC Seoul,Greece
Defense,67,19766.0,31,185,74,LA Galaxy,Czech Republic
Defense,64,1384.0,31,183,74,Real Sociedad B,Saudi Arabia
Midfield,57,72605.0,24,179,72,Viborg FF,China PR
Defense,67,48481.0,25,185,84,Platense,Italy
Defense,78,11804.0,31,184,77,Aytemiz Alanyaspor,Israel
Defense,58,673.0,18,185,90,Yeni Malatyaspor,Albania
Defense,79,13805.0,31,186,81,Toronto FC,Argentina
Midfield,57,1091.0,25,175,73,Crystal Palace,China PR
Defense,63,8528.0,28,188,72,Atlético Nacional,Nigeria
Midfield,69,13465.0,29,181,82,Club Cerro Porteño,Norway
Defense,79,5570.0,22,180,69,SK Sturm Graz,Turkey
Midfield,76,9469.0,27,168,61,Atlético de Madrid,Sweden
Defense,60,500.0,18,177,75,Toronto FC,Republic of Ireland
GoalKeeper,62,21667.0,27,187,74,Morecambe,Argentina
Midfield,80,19814.0,30,173,75,Shijiazhuang Ever Bright F.C.,Cyprus
Defense,74,10959.0,27,183,74,Sporting Kansas City,Republic of Ireland
Midfield,65,26029.0,32,169,72,Sporting Kansas City,Spain
Midfield,68,12274.0,27,185,81,Örebro SK,Tunisia
Midfield,56,42866.0,20,176,70,RKC Waalwijk,India
Defense,70,19144.0,21,175,88,Hajduk Split,Germany
Offense,86,2285.0,34,185,74,AS Saint-Étienne,Argentina
Offense,58,509.0,25,169,74,AS Saint-Étienne,Peru
Defense,67,34264.0,25,186,76,Orlando Pirates,Finland
GoalKeeper,76,761.0,35,190,88,1. FSV Mainz 05,Germany
Offense,69,6466.0,27,170,79,SK Sturm Graz,England
Offense,75,13091.0,29,179,82,APOEL Nicosia FC,New Zealand
GoalKeeper,69,52500.0,28,192,81,LDU Quito,Germany
Midfield,72,21007.0,31,175,69,RB Leipzig,Madagascar
Midfield,55,1711.0,22,178,78,Atlético Nacional,Portugal
GoalKeeper,64,1092.0,33,193,73,Real Sociedad B,Portugal
GoalKeeper,77,500.0,38,195,75,Stevenage,Montserrat
Defense,64,675.0,20,179,73,Lillestrøm SK,Poland
GoalKeeper,50,500.0,22,200,88,Kaizer Chiefs,Romania
GoalKeeper,63,6772.0,21,173,73,Atlético Nacional,Saudi Arabia
Defense,78,1830.0,28,183,64,Real Sociedad B,Saudi Arabia
Defense,78,19557.0,26,190,82,Gaz Metan Mediaş,Spain
Midfield,62,2120.0,21,186,78,AFC Bournemouth,China PR
Defense,69,19557.0,29,183,74,AS Saint-Étienne,Burkina Faso
Defense,68,5046.0,24,176,67,Club Cerro Porteño,Austria
Midfield,63,1466.0,22,184,75,Aytemiz Alanyaspor,Wales
Defense,62,10694.0,30,182,78,AC Mineros de Guayana,Denmark
Defense,63,947.0,27,183,75,Abha Club,Malawi
Midfield,57,1599.0,19,178,73,Manchester City,Poland
Defense,69,14787.0,28,180,78,Hellas Verona,Denmark
Offense,73,3796.0,24,183,77,Trabzonspor,Croatia
GoalKeeper,75,972.0,30,190,66,Everton,England
Defense,76,2110.0,32,180,72,Club Atlético de San Luis,Grenada
Midfield,65,20807.0,29,185,72,Lillestrøm SK,Romania
Defense,75,27431.0,32,184,73,Toronto FC,Belgium
Offense,68,9487.0,25,186,70,SC Heerenveen,Iraq
Offense,63,575.0,21,187,82,KV Kortrijk,England
Defense,78,11316.0,33,183,80,F.C. København,Northern Ireland
Defense,73,21770.0,29,189,79,FC Schalke 04,Tunisia
Defense,76,2674.0,27,187,81,Genoa,United States
Midfield,76,9610.0,32,183,82,Atlético de Madrid,Argentina
GoalKeeper,80,4355.0,19,176,79,Hebei FC,Israel
GoalKeeper,70,1278.0,27,183,75,Atlético Nacional,France
Defense,79,9177.0,22,186,75,KRC Genk,Norway
Midfield,77,12244.0,24,182,73,AS Saint-Étienne,Sweden
Midfield,55,1570.0,19,171,73,HJK Helsinki,Japan
Defense,74,1064.0,21,181,80,Club Cerro Porteño,Austria
Midfield,63,29689.0,23,182,70,Atlético Nacional,Saudi Arabia
Defense,66,23770.0,32,179,73,Atlético Nacional,Saudi Arabia
Defense,73,30703.0,29,187,79,Real Sociedad B,Denmark
Offense,62,4290.0,23,182,65,FC Goa,Denmark
Defense,71,992.0,29,182,73,Lillestrøm SK,Italy
Defense,51,500.0,30,183,69,Górnik Łęczna,Romania
Offense,66,1399.0,33,181,81,Sporting Kansas City,Norway
Defense,74,10837.0,34,185,73,Lillestrøm SK,Brazil
Defense,71,3547.0,21,168,80,FC Seoul,Saudi Arabia
Defense,72,1373.0,20,189,74,Club Cerro Porteño,Argentina
Defense,61,500.0,21,178,74,Clube Sport Marítimo,Trinidad and Tobago
Midfield,80,5073.0,19,183,82,Toronto FC,Madagascar
Defense,76,5708.0,26,190,72,Lillestrøm SK,Italy
Defense,67,1136.0,23,191,68,Atlético de Madrid,Ghana
Midfield,56,738.0,20,176,67,Sligo Rovers,Poland
Defense,62,2687.0,31,170,73,Toronto FC,Poland
Offense,61,5046.0,29,183,70,Bologna,Russia
Midfield,55,500.0,20,171,65,Orlando Pirates,Poland
Midfield,53,1044.0,22,189,74,Östersunds FK,Croatia
Defense,62,1473.0,20,181,75,LOSC Lille,Burkina Faso
Midfield,80,26010.0,26,178,72,Wolverhampton Wanderers,Grenada
Midfield,59,894.0,23,175,70,Vejle Boldklub,India
GoalKeeper,73,563.0,21,178,85,Stade Malherbe Caen,New Zealand
Defense,76,3852.0,26,189,76,Lillestrøm SK,China PR
Midfield,64,1205.0,31,174,75,Toronto FC,Australia
Offense,63,919.0,30,183,80,Benevento,Iran
Midfield,72,11403.0,29,178,72,Atlético de Madrid,Brazil
Defense,72,1451.0,24,186,77,Toronto FC,Japan
GoalKeeper,74,540.0,24,172,73,Atlético de Madrid,Croatia
Defense,74,19348.0,23,188,87,Club de Foot Montréal,Spain
Offense,72,1041.0,26,185,73,AS Saint-Étienne,Portugal
GoalKeeper,71,780.0,35,196,75,RB Bragantino,Romania
Midfield,78,159746.0,23,176,70,SC Braga,Argentina
Midfield,81,24051.0,19,186,74,AS Saint-Étienne,Sweden
Defense,75,3397.0,31,178,79,Accrington Stanley,Honduras
GoalKeeper,56,1105.0,20,186,76,Al Fateh,Croatia
Defense,74,12319.0,27,186,80,Club Atlético Peñarol,Uzbekistan
Midfield,65,1720.0,23,176,75,Club Cerro Porteño,Republic of Ireland
Defense,74,1122.0,24,181,73,Atlético de Madrid,Albania
Defense,78,12168.0,35,170,77,Atlético Nacional,Brazil
Midfield,57,1450.0,20,175,79,Atlético Clube Goianiense,Norway
Defense,73,9253.0,30,184,85,Ettifaq FC,Mali
Defense,76,500.0,30,196,74,Gallos Blancos de Querétaro,Georgia
Defense,71,1198.0,25,189,82,Luton Town,Spain
GoalKeeper,70,1132.0,33,195,89,RKC Waalwijk,England
Defense,75,500.0,19,183,75,Lillestrøm SK,England
Defense,53,33197.0,31,171,76,Çaykur Rizespor,Spain
Offense,84,14300.0,28,185,77,FC Seoul,Croatia
Midfield,58,1753.0,25,175,66,Hallescher FC,Australia
Midfield,57,1044.0,20,177,71,Hyderabad FC,Poland
Defense,77,36641.0,29,182,77,AS Saint-Étienne,Spain
Defense,70,9948.0,29,188,74,New York City FC,Russia
Defense,77,4473.0,29,182,73,FC Schalke 04,Ghana
Defense,67,24128.0,26,188,75,AS Saint-Étienne,China PR
Defense,54,949.0,21,179,75,Real Sociedad B,Portugal
Defense,76,5199.0,24,185,73,Toronto FC,Spain
Midfield,64,1647.0,22,188,72,Lillestrøm SK,England
Defense,61,3020.0,29,188,74,Ferencvárosi TC,Argentina
Defense,64,13560.0,22,181,75,Real Sociedad B,Spain
GoalKeeper,78,829.0,25,200,85,Servette FC,England
Defense,77,12937.0,31,188,78,Lillestrøm SK,Argentina
GoalKeeper,74,1344.0,29,190,75,Real Sociedad B,Argentina
Offense,58,500.0,29,174,81,Kaizer Chiefs,Germany
Offense,74,13816.0,22,177,78,Clermont Foot 63,Germany
GoalKeeper,82,863.0,38,191,84,SK Brann,Argentina
Offense,63,1370.0,24,187,73,Rosario Central,Belarus
Midfield,56,6439.0,27,171,66,Shakhtar Donetsk,Finland
Defense,64,4251.0,24,185,84,Lecce,Italy
Defense,54,672.0,23,175,64,Atlético Nacional,Senegal
Midfield,65,1655.0,20,183,78,Inter Miami CF,Norway
Defense,77,15305.0,23,186,73,SG Dynamo Dresden,Israel
Midfield,73,1889.0,38,174,64,PAOK,Ukraine
Defense,74,9736.0,29,176,80,Lillestrøm SK,Tunisia
Midfield,65,688.0,27,179,64,Montpellier Hérault SC,Jamaica
Defense,73,10326.0,35,187,81,Real Salt Lake,Finland
Midfield,57,500.0,18,184,74,Boca Juniors,Sierra Leone
Defense,50,500.0,23,181,72,KSV Cercle Brugge,Slovakia
Defense,64,703.0,22,198,75,Incheon United FC,Indonesia
Midfield,59,1312.0,29,183,72,Atlético de Madrid,Portugal
Defense,74,1328.0,32,186,74,Tranmere Rovers,Netherlands
Offense,51,64672.0,22,183,84,Shonan Bellmare,France
Defense,61,13201.0,24,188,85,Dijon FCO,Spain
Offense,74,9885.0,29,182,77,SD Huesca,Austria
GoalKeeper,83,11880.0,33,197,81,Örebro SK,Denmark
Midfield,63,1106.0,29,185,68,Charlton Athletic,Israel
Midfield,64,1578.0,23,178,85,FCSB (Steaua),Israel
Defense,67,7904.0,28,191,82,1. FC Nürnberg,Ukraine
Midfield,62,500.0,25,187,79,Peterborough United,Uganda
Defense,76,11888.0,29,182,73,AS Saint-Étienne,Spain
Defense,72,24132.0,31,184,86,Club Tijuana,Brazil
Defense,75,13799.0,31,185,73,FC Sochaux-Montbéliard,Ghana
Offense,65,823.0,30,180,69,Lillestrøm SK,Algeria
Defense,70,1469.0,29,185,71,Adana Demirspor,Uzbekistan
Defense,68,813.0,27,187,74,Unión de Santa Fe,Germany
Midfield,59,646.0,19,172,67,Fiorentina,Japan
Midfield,79,2135.0,32,174,75,AFC Bournemouth,Iran
Defense,50,2760.0,32,167,72,Al Nassr,Honduras
Defense,72,5887.0,34,178,73,Royale Union Saint-Gilloise,Ghana
Midfield,81,654.0,31,181,82,Barcelona Sporting Club,Montserrat
Defense,72,1155.0,32,186,73,Aytemiz Alanyaspor,Germany
Midfield,64,654.0,31,181,76,Club Cerro Porteño,India
Midfield,67,4479.0,29,182,74,AS Saint-Étienne,Norway
Defense,73,1850.0,32,182,74,Atlético de Madrid,Ghana
Defense,77,9843.0,31,188,81,Lillestrøm SK,Belgium
Defense,74,1146.0,24,187,83,SV Zulte Waregem,Argentina
Midfield,64,1639.0,23,172,69,SC Bastia,Poland
Offense,73,1278.0,29,183,74,Chicago Fire Football Club,France
Defense,74,10716.0,27,189,73,Lillestrøm SK,Belgium
Defense,72,5394.0,22,190,79,Western United FC,Northern Ireland
Defense,72,25408.0,21,183,81,Celtic,South Africa
Midfield,53,500.0,17,179,76,Chamois Niortais Football Club,Cyprus
Defense,69,7747.0,31,184,73,Club Atlético Colón,United States
Midfield,85,15962.0,32,179,74,Derby County,Estonia
Defense,72,18809.0,29,183,84,Çaykur Rizespor,Poland
Defense,61,858.0,31,186,81,Atlético de Madrid,Argentina
Defense,82,9366.0,31,177,84,1. FC Heidenheim 1846,Afghanistan
Defense,73,15254.0,34,172,72,Club Cerro Porteño,England
Defense,67,33583.0,26,188,74,Nottingham Forest,Malawi
Midfield,62,500.0,23,173,71,Atlético Nacional,Saudi Arabia
Offense,61,11932.0,29,169,83,Odisha FC,England
Defense,73,49594.0,24,190,84,LOSC Lille,Ecuador
GoalKeeper,70,4663.0,33,169,80,FC Lokomotiv Moscow,Belgium
Midfield,70,8903.0,22,188,80,Go Ahead Eagles,New Zealand
Defense,77,7626.0,27,183,82,Chamois Niortais Football Club,Netherlands
Defense,75,1518.0,31,186,73,SV Waldhof Mannheim 07,Spain
Midfield,57,1110.0,20,176,67,Fiorentina,Spain
Offense,73,5233.0,33,187,75,Futebol Clube de Famalicão,Saudi Arabia
Midfield,56,1066.0,22,171,65,KV Kortrijk,Romania
Defense,75,13117.0,32,192,69,Moreirense FC,Faroe Islands
Offense,64,30693.0,30,183,79,KV Kortrijk,Ukraine
Defense,71,19760.0,27,186,76,Aarhus GF,Slovakia
GoalKeeper,56,12092.0,35,177,70,Seattle Sounders FC,Sierra Leone
Defense,56,9798.0,21,180,87,Tottenham Hotspur,Egypt
Defense,76,27747.0,27,189,78,Toronto FC,Spain
Defense,77,1735.0,26,182,74,Torino F.C.,Israel
Defense,58,9531.0,30,182,75,Royale Union Saint-Gilloise,New Zealand
Midfield,62,885.0,22,179,75,Toronto FC,Venezuela
Offense,78,5230.0,25,184,73,Atlético Nacional,Saudi Arabia
Defense,73,5642.0,26,187,73,Toronto FC,Belgium
Midfield,55,500.0,19,176,70,FC Lokomotiv Moscow,Bolivia
Defense,66,6695.0,22,172,65,KAA Gent,Switzerland
Defense,64,12028.0,32,185,75,FC Schalke 04,Sweden
Defense,84,8993.0,31,184,72,Bolton Wanderers,Puerto Rico
Defense,78,9038.0,31,174,94,IF Elfsborg,Japan
Defense,69,586.0,32,179,77,Atlético Nacional,Saudi Arabia
Midfield,73,4661.0,24,185,75,Lillestrøm SK,Brazil
Defense,74,10187.0,31,189,73,VfB Stuttgart,Finland
Defense,82,23041.0,28,186,80,Stabæk Fotball,Korea Republic
GoalKeeper,73,748.0,31,186,86,Perth Glory,Nigeria
GoalKeeper,68,5676.0,19,184,70,Al Fateh,Sierra Leone
Midfield,74,10754.0,23,188,80,Lillestrøm SK,England
Defense,72,59370.0,34,183,76,Sagan Tosu,United States
Midfield,66,10078.0,31,180,78,Sporting Kansas City,Belgium
Midfield,59,1455.0,20,185,67,Al Ahli,Bosnia and Herzegovina
Midfield,57,931.0,19,177,67,Racing Club de Lens,Romania
Defense,73,25023.0,31,192,71,Paris FC,Jamaica
Midfield,62,13521.0,32,171,76,FC Schalke 04,Sweden
Defense,73,500.0,27,183,79,Atlético Nacional,Saudi Arabia
Midfield,72,13444.0,26,175,74,Sporting Kansas City,Norway
Defense,64,1276.0,25,178,75,Vitória de Guimarães,Serbia
Midfield,63,27155.0,26,182,74,AS Saint-Étienne,Ghana
GoalKeeper,51,517.0,22,199,86,Los Angeles FC,Germany
Defense,69,4287.0,25,180,86,Hull City,Spain
GoalKeeper,77,11386.0,32,187,80,Atlético Nacional,France
Midfield,65,1197.0,34,171,66,Getafe CF,Argentina
GoalKeeper,64,4033.0,24,188,74,Toronto FC,Japan
Midfield,60,500.0,21,177,76,Belenenses SAD,Montserrat
Defense,60,1248.0,24,183,74,K Beerschot VA,Brazil
Defense,74,8383.0,27,186,75,Barnsley,Uzbekistan
Defense,69,500.0,27,180,68,Silkeborg IF,Portugal
Midfield,58,500.0,18,168,67,KSV Cercle Brugge,Poland
GoalKeeper,84,8740.0,18,193,88,Sligo Rovers,Liberia
GoalKeeper,62,500.0,33,192,83,Club The Strongest,Croatia
GoalKeeper,80,22679.0,26,169,83,Kasimpaşa SK,Georgia
Midfield,59,4202.0,31,170,63,Derby County,Israel
GoalKeeper,63,500.0,29,194,80,Club Olimpia,England
Defense,67,4783.0,27,180,85,Toronto FC,Norway
Defense,70,12229.0,31,185,78,BSC Young Boys,Russia
Defense,61,8476.0,31,186,74,Toronto FC,Denmark
Defense,71,566.0,21,180,70,Club Universitario de Deportes,Mexico
Defense,79,22335.0,35,190,74,AS Saint-Étienne,Spain
Offense,72,1700.0,19,188,75,Valenciennes FC,England
Defense,69,40923.0,24,173,84,New York City FC,Sweden
Offense,78,10227.0,29,176,84,Scunthorpe United,China PR
Defense,77,1330.0,29,184,74,İstanbul Başakşehir FK,Cape Verde Islands
Midfield,75,1408.0,28,174,85,Burgos CF,Montserrat
GoalKeeper,86,30492.0,22,188,81,Burton Albion,Croatia
Defense,65,24838.0,31,189,78,Real Sociedad B,Italy
GoalKeeper,66,5184.0,24,178,75,AS Saint-Étienne,Mexico
Defense,71,6596.0,23,177,74,Wigan Athletic,Montserrat
Offense,53,30634.0,22,172,82,Orlando City Soccer Club,England
Defense,74,6145.0,31,177,76,Sporting Kansas City,Morocco
Midfield,72,1033.0,33,183,80,Fenerbahçe SK,Angola
GoalKeeper,63,2329.0,23,176,78,Club Atlético de San Luis,Israel
GoalKeeper,55,24437.0,33,194,81,Barrow,Spain
Midfield,63,1488.0,29,177,74,Club Cerro Porteño,England
GoalKeeper,73,3526.0,34,185,78,Málaga CF,Georgia
Defense,57,36798.0,27,171,73,Bruk-Bet Termalica Nieciecza,Spain
GoalKeeper,70,1495.0,29,183,73,Atlético de Madrid,Serbia
Defense,77,98083.0,33,193,75,SK Slavia Praha,Indonesia
Offense,79,2196.0,24,189,81,Lillestrøm SK,England
Defense,74,4579.0,26,180,75,Sporting Kansas City,Spain
Defense,71,1309.0,31,193,70,Hammarby IF,Germany
GoalKeeper,72,509.0,32,174,84,Barcelona Sporting Club,Montserrat
Offense,63,500.0,20,176,74,Clube Sport Marítimo,Switzerland
Offense,59,1086.0,25,185,74,KRC Genk,Netherlands
Defense,60,1362.0,20,173,77,Sporting Kansas City,Norway
GoalKeeper,59,547.0,35,200,75,Everton,England
Defense,63,58926.0,33,183,73,Oud-Heverlee Leuven,United States
GoalKeeper,60,1400.0,30,189,74,Oud-Heverlee Leuven,Trinidad and Tobago
Defense,65,53140.0,27,188,72,Walsall,Latvia
Midfield,81,4849.0,31,183,89,Kristiansund BK,Cyprus
Defense,68,1121.0,32,182,75,AS Saint-Étienne,South Africa
GoalKeeper,73,500.0,36,183,77,Atlético Nacional,Poland
Defense,75,14172.0,32,187,74,AFC Bournemouth,Spain
Offense,71,1789.0,28,178,74,Valenciennes FC,Netherlands
Defense,73,9345.0,24,187,76,LASK Linz,Tunisia
Midfield,60,500.0,20,183,68,Santos Laguna,Ghana
Defense,68,7661.0,34,188,81,Bolton Wanderers,Sweden
Defense,55,1387.0,31,174,72,Daegu FC,Georgia
Defense,74,7599.0,23,187,77,Al Faisaly,Cape Verde Islands
Defense,69,27501.0,29,181,74,Toronto FC,Germany
Midfield,83,10585.0,27,181,74,Dijon FCO,Tunisia
Defense,75,7675.0,25,192,79,Grêmio,Argentina
Midfield,57,1585.0,21,180,72,Rayo Vallecano,Montenegro
Offense,62,1242.0,29,179,74,Burton Albion,Uruguay
Defense,77,3580.0,30,167,74,Amiens SC,Liberia
Midfield,76,13059.0,29,182,75,Oita Trinita,Mauritania
Defense,63,14808.0,25,179,74,Boavista FC,Japan
Midfield,57,654.0,19,183,68,Real Salt Lake,India
Defense,64,50500.0,24,183,73,FC Schalke 04,Spain
Defense,73,32377.0,29,193,87,Aarhus GF,Morocco
Midfield,52,8813.0,19,183,79,Real Sociedad,Czech Republic
Midfield,59,667.0,19,180,73,Cambridge United,Jamaica
Defense,60,8295.0,29,171,81,Toronto FC,South Africa
Offense,62,3486.0,29,169,79,Club Atlético Independiente,Iran
Defense,74,19559.0,30,185,81,Le Havre AC,Argentina
Offense,64,42254.0,36,191,84,Seattle Sounders FC,England
Defense,77,10568.0,28,188,75,Torino F.C.,Jamaica
Defense,65,44237.0,20,180,67,Sepsi OSK Sf. Gheorghe,Mauritius
GoalKeeper,75,7641.0,31,192,82,Ross County FC,Germany
Defense,72,13484.0,27,190,74,Lillestrøm SK,England
Defense,69,9875.0,31,183,74,Real Sociedad B,Argentina
GoalKeeper,66,5518.0,21,197,83,Club The Strongest,England
Midfield,78,12896.0,32,184,72,AS Saint-Étienne,Sweden
Defense,68,500.0,30,179,79,SV Waldhof Mannheim 07,France
Midfield,72,9676.0,25,182,74,Sporting Kansas City,Portugal
Defense,67,3684.0,22,179,80,Suwon FC,Germany
Midfield,73,18621.0,23,186,75,Cerezo Osaka,Liberia
Offense,72,873.0,23,189,80,F.C. København,England
Midfield,66,7130.0,31,187,76,Club Tijuana,Uzbekistan
Defense,78,1129.0,28,185,73,Club Atlético Independiente,Serbia
Midfield,67,1966.0,24,180,68,Minnesota United FC,Israel
Defense,69,1225.0,31,178,73,Guangzhou City,Azerbaijan
Defense,68,15249.0,22,185,73,Lillestrøm SK,England
Defense,77,2389.0,22,189,73,Real Sociedad B,Sweden
Midfield,64,12417.0,24,168,65,Atlético Nacional,Saudi Arabia
Defense,60,7893.0,22,172,73,Colorado Rapids,Brazil
