short_name,position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
N. Bahoui,Offense,66,3000.0,30,188,84,AIK,Sweden
J. Davenport,Defense,66,10000.0,22,177,73,Blackburn Rovers,England
D. Diekmeier,Defense,72,6000.0,31,188,79,SV Sandhausen,Germany
I. Larie,Defense,65,3000.0,34,191,86,FC Farul Constanța,Romania
T. Ogashiwa,Offense,65,2000.0,22,167,67,Hokkaido Consadole Sapporo,Japan
F. Ovelar,Offense,61,500.0,17,170,67,Club Cerro Porteño,Paraguay
S. Kjær,Defense,83,54000.0,32,190,86,AC Milan,Denmark
Arturo Inálcio,Midfield,78,30000.0,21,170,60,Flamengo,Brazil
T. Le Normand,Midfield,58,1000.0,20,178,75,En Avant de Guingamp,France
Feng Gang,Midfield,57,2000.0,28,177,64,Hebei FC,China PR
S. Walsh,Defense,69,7000.0,26,180,76,KV Mechelen,Netherlands
A. Al Sharid,Defense,61,3000.0,27,168,67,Al Faisaly,Saudi Arabia
D. Sinkgraven,Defense,75,36000.0,25,179,67,Bayer 04 Leverkusen,Netherlands
G. Burke,Offense,66,1000.0,27,175,72,Shamrock Rovers,Republic of Ireland
O. Stanisic,Defense,62,750.0,27,195,83,Varbergs BoIS FC,Sweden
K. Koizumi,Defense,68,2000.0,26,173,70,Sagan Tosu,Japan
K. Sildillia,Defense,62,2000.0,19,186,79,Sport-Club Freiburg,France
Arnau Martínez,Defense,66,950.0,18,181,75,Girona FC,Spain
G. Laura,Midfield,68,4000.0,25,178,82,Paris FC,France
C. Riveros,Defense,68,500.0,38,179,76,Club Nacional,Paraguay
H. Dunk,Defense,64,2000.0,30,184,73,Cambridge United,England
S. Machino,Offense,62,850.0,21,185,77,Shonan Bellmare,Japan
R. Castellanos,Defense,58,1000.0,23,188,82,Nashville SC,United States
Marlon,Defense,72,650.0,25,182,80,Shakhtar Donetsk,Brazil
L. Abubakar,Defense,69,4000.0,26,183,82,Colorado Rapids,Ghana
C. Șerban,Midfield,54,500.0,18,175,65,CS Mioveni,Romania
Yu Dabao,Defense,64,5000.0,33,185,79,Beijing Guoan FC,China PR
B. Ocampo,Offense,73,1000.0,22,174,68,Club Nacional de Football,Uruguay
L. Marquines,GoalKeeper,57,500.0,18,187,83,Atlético Nacional,Colombia
Đ. Nikolić,GoalKeeper,65,2000.0,24,195,91,FC Basel 1893,Serbia
G. Godoy,Defense,66,500.0,33,187,78,Carlos A. Mannucci,Uruguay
A. Sánchez,Offense,80,105000.0,32,168,62,Inter,Chile
B. Aloé,Defense,65,2000.0,27,184,77,FC Arouca,France
J. Świerczok,Offense,72,6000.0,28,179,75,Nagoya Grampus,Poland
Álex Collado,Midfield,67,33000.0,22,177,66,FC Barcelona,Spain
Song Si Woo,Midfield,65,2000.0,27,174,72,Incheon United FC,Korea Republic
E. Schelotto,Defense,70,10000.0,32,187,77,Racing Club,Italy
A. Mühling,Midfield,72,18000.0,28,186,84,Holstein Kiel,Germany
Traeira Lopes,GoalKeeper,67,6000.0,29,192,81,Juventude,Brazil
F. Benković,Defense,71,38000.0,23,194,91,Leicester City,Croatia
Tiago Tomás,Offense,74,8000.0,19,183,73,Sporting CP,Portugal
T. Strakosha,GoalKeeper,80,48000.0,26,193,78,Lazio,Albania
C. Menz,Defense,64,1000.0,32,185,78,FC Viktoria 1889 Berlin,Germany
M. Insaurralde,Defense,66,4000.0,22,176,70,Gimnasia y Esgrima La Plata,Argentina
A. Al Aryani,Offense,58,6000.0,25,170,75,Al Batin,Saudi Arabia
L. Tempelmann,Midfield,62,4000.0,22,174,77,1. FC Nürnberg,Germany
A. Beka Beka,Defense,64,7000.0,20,178,74,FC Lokomotiv Moscow,France
D. Lavalée,Defense,66,6000.0,24,188,85,Sint-Truidense VV,Belgium
J. Jønsson,Defense,73,22000.0,28,182,78,Cádiz CF,Denmark
Zhang Xingbo,Defense,53,1000.0,27,172,67,Chongqing Liangjiang Athletic,China PR
J. Fuchs,Defense,68,3000.0,23,176,70,Dundee United,Cameroon
T. Al Ammar,Midfield,62,5000.0,21,173,70,Al Shabab,Saudi Arabia
B. Brereton Díaz,Offense,71,25000.0,22,188,75,Blackburn Rovers,Chile
L. Rose,Defense,67,4000.0,29,184,79,Legia Warszawa,Mauritius
L. Coulibaly,Defense,73,28000.0,25,183,77,US Salernitana 1919,Mali
Robert Navarro,Midfield,67,6000.0,19,178,75,Real Sociedad,Spain
L. Adžić,Offense,66,3000.0,22,184,78,PEC Zwolle,Serbia
Á. Preciado,Defense,69,6000.0,23,173,73,KRC Genk,Ecuador
H. Calcaterra,Midfield,69,550.0,32,177,72,Club Sporting Cristal,Peru
R. Smallwood,Defense,66,4000.0,30,180,72,Hull City,England
T. Oakley-Boothe,Midfield,63,5000.0,21,182,68,Stoke City,England
Mateo,Midfield,60,1000.0,19,180,75,Girona FC,Spain
U. Cardona,Defense,67,4000.0,22,177,69,Mazatlán Futbol Club,Mexico
M. Godinho,Defense,62,1000.0,24,178,70,Vancouver Whitecaps FC,Canada
S. Nzonzi,Defense,78,47000.0,32,196,89,Roma,France
M. Kikonda,Defense,65,2000.0,25,175,76,USL Dunkerque,France
D. Martinović,Offense,67,2000.0,24,179,77,SV Waldhof Mannheim 07,Croatia
J. Atencio,Defense,57,650.0,19,185,79,Seattle Sounders FC,United States
R. Romeo,Defense,63,2000.0,31,175,68,Gaz Metan Mediaş,Italy
A. Ricaurte,Midfield,73,8000.0,29,182,75,FC Dallas,Colombia
D. García,Midfield,61,500.0,27,176,75,Aragua Fútbol Club,Venezuela
T. Stirl,GoalKeeper,59,500.0,21,188,83,TSV Havelse,Germany
Wallace,Defense,71,9000.0,26,191,85,Yeni Malatyaspor,Brazil
O. Merlo,Defense,70,500.0,35,185,80,Club Sporting Cristal,Argentina
D. Youfeigane,GoalKeeper,58,750.0,21,188,84,En Avant de Guingamp,France
R. Sweeney,Defense,64,2000.0,24,193,87,Dundee FC,Republic of Ireland
O. Ashley,Midfield,52,6000.0,21,180,82,West Ham United,England
C. Telo,Defense,63,1000.0,31,172,72,IFK Norrköping,Sweden
Jailson Caeiro,Defense,75,13000.0,29,177,75,Ceará Sporting Club,Brazil
L. Tawamba,Offense,73,22000.0,31,189,95,Al Taawoun,Cameroon
André Clóvis,Offense,68,3000.0,23,186,78,Estoril Praia,Brazil
L. Orellano,Offense,73,11000.0,21,177,66,Vélez Sarsfield,Argentina
T. Trybull,Defense,72,19000.0,28,181,72,Hannover 96,Germany
A. Dieng,Offense,68,12000.0,20,178,72,Olympique de Marseille,Senegal
M. Harsman,GoalKeeper,60,500.0,21,190,80,SV Meppen,Germany
J. Macías,Offense,75,34000.0,21,177,73,Getafe CF,Mexico
J. Verhoek,Offense,66,4000.0,32,188,87,F.C. Hansa Rostock,Netherlands
J. Hungbo,Defense,60,6000.0,21,180,70,Ross County FC,England
D. Morales,Offense,65,500.0,29,175,70,Sport Huancayo,Peru
Nico Melamed,Midfield,74,12000.0,20,173,68,RCD Espanyol de Barcelona,Spain
B. Sambou,Offense,62,2000.0,23,184,75,Fortuna Sittard,Germany
G. Caprari,Offense,75,21000.0,27,176,72,Hellas Verona,Italy
S. Muwashar,Midfield,68,14000.0,32,176,64,Al Ahli,Saudi Arabia
S. Ward,Defense,63,2000.0,35,186,80,Walsall,Republic of Ireland
Y. Thoelen,GoalKeeper,67,4000.0,30,188,81,KV Mechelen,Belgium
N. Wicht,Midfield,50,500.0,17,185,80,TSV 1860 München,Switzerland
Julen,GoalKeeper,57,900.0,22,180,75,CD Lugo,Spain
Dai Lin,Defense,67,6000.0,33,190,76,Shandong Taishan,China PR
D. Nlundulu,Offense,62,9000.0,22,188,75,Lincoln City,England
C. McHugh,Defense,66,1000.0,28,180,72,ATK Mohun Bagan FC,Republic of Ireland
Jesús Vázquez,Defense,66,2000.0,18,182,77,Valencia CF,Spain
M. Balda,Midfield,66,500.0,29,173,67,Guayaquil City FC,Ecuador
E. Goldaniga,Defense,71,18000.0,27,193,82,U.S. Sassuolo Calcio,Italy
I. Drešević,Defense,68,3000.0,24,186,81,SC Heerenveen,Kosovo
L. Corbu,Defense,62,2000.0,27,174,68,AFC Chindia Târgoviște,Romania
A. Niangbo,Offense,67,6000.0,21,172,67,SK Sturm Graz,Côte d'Ivoire
J. Cabezudo,GoalKeeper,58,500.0,19,180,80,FBC Melgar,Peru
J. Paradela,Midfield,70,8000.0,22,179,71,River Plate,Argentina
R. Tone,Defense,63,1000.0,29,182,75,Oita Trinita,Japan
G. Ferrari,Defense,73,24000.0,29,189,82,U.S. Sassuolo Calcio,Italy
S. Ben Seghir,Offense,61,3000.0,18,174,57,Olympique de Marseille,France
G. Bouzoukis,Midfield,69,500.0,23,172,67,Panathinaikos FC,Greece
Moncayola,Defense,75,20000.0,23,189,86,CA Osasuna,Spain
D. Afolayan,Midfield,67,4000.0,23,180,70,Bolton Wanderers,England
V. Ábrego,Offense,63,500.0,24,176,69,Club Bolívar,Bolivia
S. Kurata,Midfield,68,6000.0,32,172,68,Gamba Osaka,Japan
T. Coman,Offense,52,850.0,19,182,73,Campionii FC Arges,Romania
David Rodríguez,Defense,61,1000.0,21,175,67,CD Tenerife,Spain
B. Uaferro,Defense,63,1000.0,29,191,90,1. FC Saarbrücken,Germany
Vítor Tormena,Defense,75,12000.0,25,192,84,SC Braga,Brazil
N. Chilvers,Midfield,63,3000.0,20,173,64,Colchester United,England
B. Uphoff,GoalKeeper,70,11000.0,27,192,84,Sport-Club Freiburg,Germany
N. Molina,Defense,73,11000.0,23,175,70,Udinese Calcio,Argentina
E. Ebosse,Defense,65,5000.0,22,185,75,Angers SCO,France
L. McCormick,Midfield,63,2000.0,22,180,74,AFC Wimbledon,England
D. Dankerlui,Defense,67,3000.0,24,172,64,FC Groningen,Suriname
J. Giani,Midfield,63,3000.0,22,180,69,Newell's Old Boys,Argentina
B. Blasi,Defense,67,4000.0,25,180,75,Unión de Santa Fe,Argentina
Fan Xuyang,Midfield,49,2000.0,22,183,66,Tianjin Jinmen Tiger FC,China PR
D. Michalski,Defense,64,1000.0,23,191,90,Wisła Płock,Poland
Kang Jae Woo,Midfield,50,700.0,21,179,72,Seongnam FC,Korea Republic
G. Roemeratoe,Defense,67,3000.0,21,178,74,Willem II,Netherlands
A. Eisa,Midfield,64,5000.0,25,180,75,Bradford City,Sudan
J. Isaksen,Midfield,59,600.0,21,183,68,Kristiansund BK,Norway
Gonçalo Guedes,Offense,81,39000.0,24,179,68,Valencia CF,Portugal
J. Çelhaka,Defense,64,2000.0,20,183,77,Legia Warszawa,Albania
David Seijalbo,Defense,76,29000.0,25,176,76,Clube Atlético Mineiro,Brazil
Gerson,Midfield,80,41000.0,24,184,72,Olympique de Marseille,Brazil
B. Petersen,GoalKeeper,70,500.0,27,185,75,Kaizer Chiefs,South Africa
L. Valente,Midfield,57,500.0,17,189,78,FC Groningen,Netherlands
Iñaki Peña,GoalKeeper,69,29000.0,22,184,78,FC Barcelona,Spain
H. Shiota,GoalKeeper,57,900.0,40,185,78,Urawa Red Diamonds,Japan
Anselmo Meirás,Defense,69,6000.0,25,177,75,Bahia,Brazil
P. Kasami,Defense,74,14000.0,29,188,87,FC Basel 1893,Switzerland
Josema,Defense,69,8000.0,25,184,81,Elche CF,Spain
M. Sorinola,Defense,64,3000.0,20,173,65,Royale Union Saint-Gilloise,England
M. Caraglio,Offense,72,14000.0,32,187,92,Rosario Central,Argentina
